,title,Published_date,Views,Likes,Comments,Month
112,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4333,172,54,Jun
113,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,13108,470,79,Jun
114,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2273,81,40,Jun
115,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2338,136,51,Jun
116,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4095,161,46,Jun
117,Why You're Struggling to Learn Data Science,2020-06-12,14719,986,159,Jun
118,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,9322,296,69,Jun
119,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,20507,634,151,Jun
120,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5561,154,53,Jun
121,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,50302,1699,245,May
122,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20730,486,81,May
123,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,47174,1645,172,May
124,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,10898,173,55,May
125,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,80800,3126,182,May
126,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3072,146,115,May
127,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4150,149,74,May
128,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1308489,46724,1971,May
129,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,4858,180,42,May
130,What You Need to Know for a Data Science Internship,2020-05-01,14690,882,55,May
131,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,7721,337,57,Apr
132,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14643,455,103,Apr
133,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2871,81,24,Apr
134,5 Tips for Crushing the Work From Home Life,2020-04-20,5064,199,38,Apr
135,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,13727,576,118,Apr
136,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,20101,586,94,Apr
137,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,30666,691,135,Apr
138,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,52482,1517,201,Apr
139,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,55395,1380,259,Apr
140,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,79726,2561,588,Apr
141,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,114984,3439,161,Apr
142,When Data Science Goes Wrong,2020-03-30,1714,104,32,Mar
143,How to ULTRALEARN Data Science,2020-03-27,57498,3620,168,Mar
144,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4130,263,50,Mar
145,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,10625,410,44,Mar
146,The Secret Data Scientists Don't Want You to Know,2020-03-16,9857,1083,107,Mar
147,The 5 Stages of Learning Data Science,2020-03-13,16115,1222,78,Mar
148,Can You Learn Data Science Without a Computer?,2020-03-11,1182,92,14,Mar
149,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,311510,19556,614,Mar
150,The Data Science Projects that Got Me a Job,2020-03-06,35595,1260,41,Mar
151,How to Integrate Data Science into Your Business,2020-03-02,2503,103,18,Mar
152,The Problem with Data Science,2020-02-28,3449,146,21,Feb
153,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1008,43,16,Feb
154,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,85598,1791,89,Feb
155,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,263454,15363,487,Feb
156,Data Science Advice for College Students,2020-02-14,64642,1852,191,Feb
157,Avoid These Data Science Resume Mistakes!,2020-02-10,24100,1092,57,Feb
158,Data Science Explained with ... Cooking?,2020-02-07,4213,269,43,Feb
159,The 4 Types of Sports Analytics Projects,2020-02-03,19936,702,56,Feb
160,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,507,18,13,Jan
161,How I Learned Data Science,2020-01-27,89060,2533,210,Jan
162,What is Sports Analytics Really?,2020-01-20,15033,463,74,Jan
163,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,97578,2782,569,Jan
164,How To Learn Programming for Data Science [3 Steps],2020-01-13,26950,1840,95,Jan
165,Data Science Fundamentals: SQL Queries,2020-01-10,5138,188,32,Jan
166,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2414,129,14,Jan
167,The 9 Books That Changed My Perspective in 2019,2020-01-03,3129,176,23,Jan
168,The Data Science Interview: What to Expect,2019-12-30,6812,334,32,Dec
169,5 Data Science Resolutions for 2020,2019-12-27,463,25,12,Dec
170,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,12841,466,85,Dec
171,Collision Course: Sports Betting + Data Science,2019-12-20,11703,385,25,Dec
172,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,96101,2814,214,Dec
173,5 Sports Analytics Books to Get You Started,2019-12-13,8085,305,55,Dec
174,Math Needed for Mastering Data Science,2019-12-09,50670,2622,216,Dec
175,The 5 Stages of Data Science Adoption,2019-12-06,1081,61,17,Dec
176,How YOU Can Land a Sports Analytics Job,2019-12-02,54655,2505,214,Dec
177,Data Science Fundamentals: Linear Regression,2019-11-29,5206,147,41,Nov
178,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,853,43,12,Nov
179,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,4748,232,24,Nov
